,0
1522,SCRIPT
1523,SCULPT
1524,SEALbk
1525,SEARCH
1526,SEATED
1527,SEATTLE
1528,SECRET
1529,SEE-SEE
1530,SEE
1531,SEEM
1532,SEIZE
1533,SELECT
1534,SELF_1
1535,SELFth
1536,SELL
1537,SENATE
1538,SENATOR
1539,SEND
1540,SENIOR
1541,SENTENCE
1542,SEQUENCE
1543,SERIOUS
1544,SERVE
1545,SETTLE
1546,SEVEN
1547,SEVENTH
1548,SEVERAL
1549,SEW
1550,SEX
1551,SHAME
1552,SHAMPOO
1553,SHAPE
1554,SHARE
1555,SHARK
1556,SHARP
1557,SHEEP
1558,SHH
1559,SHINY
1560,SHIRT
1561,SHOCK
1562,SHOCKED
1563,SHOES
1564,SHOP
1565,SHORT
1566,SHORTS
1567,SHOULDER
1568,SHOUT
1569,SHOVEL
1570,SHOW
1571,SHOWER
1572,SHY
1573,SICKstr
1574,SIDE
1575,SIGN
1576,SIGNAGE
1577,SILLY
1578,SILVERs
1579,SIM-COM
1580,SIMPLE
1581,SINCEstr
1582,SING
1583,SINGLE
1584,SIRENoc
1585,SISTERth
1586,SIT
1587,SIX-OF
1588,SIX.mov
1589,SIX
1590,SIXTEEN
1591,SKIix
1592,SKILL
1593,SKINNY
1594,SKIP
1595,SKIRT
1596,SKIv
1597,SKUNKk
1598,SKUNKsk
1599,SKY
1600,SLEEPb
1601,SLEEPo
1602,SLEEPY
1603,SLICE
1604,SLIP
1605,SLOW
1606,SMALL
1607,SMART
1608,SMELL
1609,SMELLY
1610,SMILEb
1611,SMILEix
1612,SMOKE
1613,SMOOTH
1614,SNAIL
1615,SNAKEbv
1616,SNAKEv
1617,SNAP
1618,SNEEZEix
1619,SNOB
1620,SNOW5O
1621,SNOWsh
1622,SNOWstr
1623,SO-SO
1624,SOAP
1625,SOCCER
1626,SOCIAL5.mov
1627,SOCIETY
1628,SOCKS
1629,SODA
1630,SOFT
1631,SOLID
1632,SOLITARY
1633,SOME
1634,SOMETIME
1635,SONb
1636,SONo
1637,SOONch
1638,SOONns
1639,SORRY
1640,SOUND
1641,SOUPcir
1642,SOUPstr
1643,SOUTH
1644,SPACE
1645,SPANISH
1646,SPEAK
1647,SPECIAL8
1648,SPECIALf
1649,SPEND
1650,SPICYpro
1651,SPICYsup
1652,SPIDER
1653,SPOON
1654,SPORTS
1655,SPOT
1656,SPREAD
1657,SPRING
1658,SQUARE
1659,SQUIRREL
1660,SQUISH
1661,STAFF
1662,STAIRS
1663,STAMPth
1664,STAND-UP
1665,STAND
1666,STAR
1667,START
1668,STATE
1669,STAY
1670,STEAL
1671,STEAM
1672,STEPS
1673,STICK
1674,STICKY8
1675,STILL
1676,STINKf
1677,STINKo
1678,STIR
1679,STOMACH
1680,STOP
1681,STORM
1682,STORY8
1683,STORYb
1684,STORYf
1685,STRAIGHT
1686,STRANGE
1687,STRANGLE
1688,STRATEGY
1689,STREETb
1690,STRESS
1691,STRICT
1692,STRIPE
1693,STRONG
1694,STUBBORN
1695,STUCK
1696,STUMBLE
