word,lemma,pos,frequency
sue,Sue,PROPN,681
was,be,VERB,677
look,look,NOUN,677
myself,myself,PRON,676
fast,fast,ADV,674
person,person,NOUN,673
he's,he',NOUN,673
jwww,Jwww,PROPN,673
ears,ear,NOUN,670
brown,brown,ADJ,669
doin,do,VERB,667
block,block,NOUN,664
seat,seat,NOUN,664
bug,bug,NOUN,663
dinosaurs,dinosaur,NOUN,663
forget,forget,VERB,659
ow,ow,INTJ,658
sleeping,sleep,VERB,657
cook,cook,VERB,657
mummy,mummy,NOUN,655
o,of,ADP,654
banana,banana,NOUN,649
apart,apart,ADV,649
sun,sun,NOUN,647
rest,rest,NOUN,646
flower,flower,NOUN,646
cereal,cereal,NOUN,646
monster,monster,NOUN,646
garage,garage,NOUN,645
whose,whose,PRON,644
minutes,minute,NOUN,641
road,road,NOUN,639
beep,beep,NOUN,639
behind,behind,ADP,639
twenty,twenty,NUM,638
neat,neat,ADJ,636
someone,someone,PRON,635
clean,clean,VERB,634
street,street,NOUN,632
before,before,ADV,630
front,front,NOUN,628
arm,arm,NOUN,627
sister,sister,NOUN,627
soon,soon,ADV,626
letter,letter,NOUN,626
beach,beach,NOUN,625
colors,color,NOUN,622
bathroom,bathroom,NOUN,622
wonder,wonder,VERB,622
long,long,ADV,621
sandwich,sandwich,NOUN,621
left,leave,VERB,620
leg,leg,NOUN,619
tummy,tummy,NOUN,618
glass,glass,NOUN,618
dress,dress,NOUN,618
tractor,tractor,NOUN,618
bottom,bottom,NOUN,616
set,set,VERB,613
tonight,tonight,NOUN,613
count,count,VERB,613
crayons,crayon,NOUN,612
thanks,thanks,NOUN,612
sheep,sheep,NOUN,610
that,that,ADV,610
cromer,Cromer,PROPN,607
mean,mean,ADJ,606
taperecorder,taperecorder,NOUN,603
ring,ring,NOUN,602
girls,girl,NOUN,601
doin,doin,ADJ,601
heavy,heavy,ADJ,601
being,be,AUX,600
byebye,byebye,PROPN,600
about,about,ADV,597
clown,clown,NOUN,596
words,word,NOUN,596
microphone,microphone,NOUN,595
while,while,NOUN,595
roll,roll,VERB,594
drink,drink,NOUN,594
c,c,NOUN,594
tiny,tiny,ADJ,592
clean,clean,ADJ,592
park,park,NOUN,590
motorcycle,motorcycle,NOUN,589
holding,hold,VERB,589
because,because,ADP,588
papa,Papa,PROPN,588
toast,toast,NOUN,587
matter,matter,NOUN,587
supper,supper,NOUN,587
snake,snake,NOUN,586
peanuts,peanut,NOUN,584
kind,kind,ADJ,583
watch,watch,NOUN,583
heard,hear,VERB,581
somethin,something,PRON,578
meat,meat,NOUN,577
gone,go,VERB,574
far,far,ADV,573
also,also,ADV,573
balloon,balloon,NOUN,572
played,play,VERB,570
close,close,ADJ,569
caught,catch,VERB,569
air,air,NOUN,569
as,as,ADV,569
policeman,policeman,NOUN,568
either,either,CCONJ,567
doggy,doggy,NOUN,566
week,week,NOUN,566
sad,sad,ADJ,566
bowl,bowl,NOUN,564
round,round,ADV,564
wake,wake,VERB,564
hope,hope,VERB,561
every,every,DET,560
best,good,ADJ,559
farm,farm,NOUN,559
thank_you,thank_you,INTJ,559
dogs,dog,NOUN,558
fun,fun,NOUN,558
scared,scared,ADJ,555
high,high,ADJ,555
easy,easy,ADJ,552
how_about,how_about,NOUN,551
mr,Mr,PROPN,551
bike,bike,NOUN,551
momma,Momma,PROPN,550
alright,alright,ADJ,547
sand,sand,NOUN,541
nobody,nobody,PRON,541
what_about,what_about,VERB,537
as,as,SCONJ,536
present,present,NOUN,535
special,special,ADJ,534
crayon,crayon,NOUN,532
matthew,Matthew,PROPN,531
glasses,glasses,NOUN,530
wall,wall,NOUN,528
ear,ear,NOUN,528
